cod_grupo_centro;desc_grupo_centro
2021-30303020501;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2021-30303020502;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2021-30303020601;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2021-30303040101;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2021-30303040201;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2021-30303040401;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2021-30303040501;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017-30301010201;ESCOLA
2017-30301020101;ESCOLA
2017-30301020201;ESCOLA
2017-30301030101;ESCOLA
2017-30301030102;ESCOLA
2017-30301040301;ESCOLA
2017-30301040401;ESCOLA
2017-30302010101;EDUCAÇÃO CONTINUADA
2017-30302010102;EDUCAÇÃO CONTINUADA
2017-30302010301;EDUCAÇÃO CONTINUADA
2017-30302010401;EDUCAÇÃO CONTINUADA
2017-30302010501;EDUCAÇÃO CONTINUADA
2017-30302020101;EDUCAÇÃO CONTINUADA
2017-30302020201;EDUCAÇÃO CONTINUADA
2017-30302020301;EDUCAÇÃO CONTINUADA
2017-30302020401;EDUCAÇÃO CONTINUADA
2017-30304010101;EDUCAÇÃO SUPERIOR
2017-30304010301;EDUCAÇÃO SUPERIOR
2017-30304011101;EDUCAÇÃO SUPERIOR
2017-30305010101;EDUCAÇÃO EXECUTIVA
2017-30305010102;EDUCAÇÃO EXECUTIVA
2017-30306010101;ESTAGIO E DESENVOLVIMENTO DA CARREIRA
2017-30306010102;ESTAGIO E DESENVOLVIMENTO DA CARREIRA
2017-30307010301;BIBLIOTECAS
2017-30307010302;BIBLIOTECAS
2017-30307010303;BIBLIOTECAS
2017-30307010305;BIBLIOTECAS
2017-30307010306;BIBLIOTECAS
2017-30307010801;BIBLIOTECAS
2017-30311010101;T&D
2017-30311010102;T&D
2017-30311010103;T&D
2017-30311010104;T&D
2018-30301010102;ESCOLA
2018-30301010201;ESCOLA
2018-30301020101;ESCOLA
2018-30301020201;ESCOLA
2018-30301030101;ESCOLA
2018-30301030102;ESCOLA
2018-30302010101;EDUCAÇÃO CONTINUADA
2018-30302010301;EDUCAÇÃO CONTINUADA
2018-30302010401;EDUCAÇÃO CONTINUADA
2018-30302010501;EDUCAÇÃO CONTINUADA
2018-30302020101;EDUCAÇÃO CONTINUADA
2018-30302020201;EDUCAÇÃO CONTINUADA
2018-30302020301;EDUCAÇÃO CONTINUADA
2018-30302020401;EDUCAÇÃO CONTINUADA
2018-30304010101;EDUCAÇÃO SUPERIOR
2018-30304010301;EDUCAÇÃO SUPERIOR
2018-30304011101;EDUCAÇÃO SUPERIOR
2018-30305010101;EDUCAÇÃO EXECUTIVA
2018-30305010102;EDUCAÇÃO EXECUTIVA
2018-30305010103;EDUCAÇÃO EXECUTIVA
2018-30306010101;ESTAGIO E DESENVOLVIMENTO DA CARREIRA
2018-30307010301;BIBLIOTECAS
2018-30307010302;BIBLIOTECAS
2018-30307010303;BIBLIOTECAS
2018-30307010305;BIBLIOTECAS
2018-30307010306;BIBLIOTECAS
2018-30307010701;BIBLIOTECAS
2018-30307010801;BIBLIOTECAS
2018-30311010101;T&D
2018-30311010102;T&D
2018-30311010103;T&D
2018-30311010104;T&D
2019-30301010201;ESCOLA
2019-30301020101;ESCOLA
2019-30301020201;ESCOLA
2019-30301030101;ESCOLA
2019-30301030102;ESCOLA
2019-30301030201;ESCOLA
2019-30302010101;EDUCAÇÃO CONTINUADA
2019-30302010102;EDUCAÇÃO CONTINUADA
2019-30302010301;EDUCAÇÃO CONTINUADA
2019-30302010401;EDUCAÇÃO CONTINUADA
2019-30302010402;EDUCAÇÃO CONTINUADA
2019-30302010501;EDUCAÇÃO CONTINUADA
2019-30302020101;EDUCAÇÃO CONTINUADA
2019-30302020201;EDUCAÇÃO CONTINUADA
2019-30302020301;EDUCAÇÃO CONTINUADA
2019-30302020401;EDUCAÇÃO CONTINUADA
